index,importance,sport,frequency,how_alone,how_small_groups,how_big_groups,independence,interdependence,sex,age,education
285,7,Track and Field,6,False,True,True,5,3.91666666666667,f,22,7
286,7,Soccer,8,False,False,True,4.66666666666667,5.58333333333333,m,23,7
288,6,Gymnastics,2,False,True,False,4.83333333333333,4.08333333333333,f,23,5
290,7,Swimming,6,True,True,False,6.41666666666667,6.25,m,27,8
291,6,Track and Field,3,True,True,False,5,5.08333333333333,f,23,7
292,6,Track and Field,7,False,True,False,4.91666666666667,5.66666666666667,f,23,7
293,7,Wing Chun,5,False,True,False,4.41666666666667,6.91666666666667,m,26,5
295,6,Karate,5,True,False,False,4.58333333333333,3.66666666666667,m,22,7
299,7,Soccer,5,True,True,False,4.83333333333333,5.41666666666667,m,25,7
300,7,Wing Chun,5,False,True,False,3.75,6.5,m,30,7
303,7,Combat Sport,4,False,True,False,2.5,6.75,f,30,8
304,6,Gymnastics,4,False,False,False,4,4.66666666666667,f,21,7
305,6,Boxing,3,False,True,False,3.5,4.41666666666667,m,33,7
306,7,Combat Sport,8,False,False,False,2.66666666666667,5.41666666666667,m,16,9
309,6,Table Tennis,5,False,True,False,4.83333333333333,5.41666666666667,m,26,8
311,6,Volleyball,6,False,True,False,3.75,5.83333333333333,f,22,7
312,7,Tennis,8,False,True,True,3.41666666666667,5.83333333333333,m,18,7
313,5,Kapap,4,False,True,False,4.58333333333333,4.16666666666667,m,27,6
315,6,MMA,4,False,True,False,5.08333333333333,4.33333333333333,m,30,7
317,7,Wing Chun,5,True,True,False,3.41666666666667,5.83333333333333,f,41,8
323,7,Judo,8,True,True,False,3.16666666666667,4,m,29,6
327,6,Fencing,5,False,True,False,3.5,4.5,f,39,8
328,7,Gymnastics,4,False,True,False,4.58333333333333,4.83333333333333,f,18,7
331,6,Gymnastics,5,False,True,True,5.08333333333333,5.41666666666667,f,17,9
332,7,Capoeira,6,False,False,True,5,4.66666666666667,f,29,8
333,7,Soccer,5,False,True,False,4.75,4.83333333333333,m,23,7
336,7,Handball,4,False,True,False,4.16666666666667,5,f,22,7
337,6,MMA,3,False,True,False,4.25,5.58333333333333,m,19,7
339,7,Mountainbiking,5,False,True,False,4.41666666666667,5.16666666666667,m,36,8
340,7,Karate,7,False,True,False,4.75,5.83333333333333,m,15,9
343,5,Alpha Combat System,4,False,True,False,5.75,5.41666666666667,m,36,6
345,5,Equestrianism,6,False,True,False,5.41666666666667,4.41666666666667,f,22,7
346,7,Gymnastics,4,False,True,False,4.83333333333333,4.66666666666667,f,16,4
347,7,Taekwondo,7,False,True,False,4.75,5.58333333333333,m,23,7
350,7,Karate,4,False,True,False,4.08333333333333,5.41666666666667,f,38,8
352,7,Gymnastics,3,False,True,False,4.75,3.91666666666667,f,19,4
353,6,Basketball,4,False,False,False,4.08333333333333,4.83333333333333,m,23,7
355,7,Parkour,4,False,True,False,4.91666666666667,4.91666666666667,m,16,9
357,7,Power Sport,7,True,True,False,3,3.25,m,24,7
358,6,Kickboxing,5,False,True,False,4.5,4.91666666666667,m,17,3
359,7,Power Sport,8,True,False,False,2.5,6.16666666666667,m,22,7
360,6,Soccer,6,True,True,True,4.83333333333333,4.66666666666667,m,21,7
361,6,Fencing,3,False,True,False,4.58333333333333,5.75,m,29,5
364,7,Power Sport,4,True,True,False,4.91666666666667,5.41666666666667,m,22,6
366,5,Soccer,3,False,True,False,4.16666666666667,4,m,24,7
368,7,Basketball,6,True,True,True,4.91666666666667,5.75,m,28,8
369,7,Judo,6,False,True,False,4,3.75,m,25,7
373,6,Ninjutsu,6,False,True,False,4.58333333333333,4,m,24,7
375,6,Ninjutsu,4,False,True,False,3.41666666666667,4.66666666666667,m,31,5
376,7,Escrima,6,False,True,False,4.5,4.66666666666667,m,42,7
377,7,Muay Thai,8,True,False,False,4.33333333333333,6.16666666666667,m,22,7
380,7,Combat Sport,5,False,False,False,2.83333333333333,5.08333333333333,m,18,7
386,7,Soccer,5,False,False,False,4.58333333333333,5.33333333333333,m,22,7
389,5,Dance,4,True,True,True,4.75,3.16666666666667,f,27,7
392,7,Track and Field,4,False,True,False,4.41666666666667,5.83333333333333,f,24,8
393,7,MMA,7,False,True,False,3.75,5.33333333333333,m,30,8
394,7,Bodybuilding,7,True,False,False,4.08333333333333,5.16666666666667,m,51,5
395,7,Muay Thai,6,False,True,False,4,5.5,m,29,8
397,7,Combat Sport,4,True,True,False,3.83333333333333,5.25,m,24,7
398,7,Parkour,7,False,True,False,4,4.41666666666667,m,15,9
402,7,BJJ,6,False,True,False,5.75,5,m,20,7
404,6,Kung Fu,5,True,True,False,3.58333333333333,5.41666666666667,m,18,7
405,7,Mountainbiking,7,True,True,False,5.16666666666667,5.75,f,20,7
406,7,Jeet kune do,6,True,True,False,4.75,5.66666666666667,m,26,9
407,7,Gymnastics,6,False,True,False,4.83333333333333,5.58333333333333,f,24,9
408,7,Parkour,6,False,True,False,4.91666666666667,6.33333333333333,m,18,4
409,5,Wing Chun,4,False,False,False,3.5,4.41666666666667,m,32,6
412,6,Swimming,7,False,True,False,4.91666666666667,5.75,m,26,7
413,7,Parkour,4,True,False,False,5.66666666666667,5.83333333333333,m,22,7
416,7,Basketball,4,False,True,True,4.83333333333333,4.58333333333333,f,23,7
417,7,Basketball,7,True,False,False,5.08333333333333,5.08333333333333,f,15,9
421,7,BJJ,6,False,True,False,4.16666666666667,5.25,m,30,8
423,7,Gymnastics,6,False,True,False,4.16666666666667,4.58333333333333,m,21,7
425,7,Basketball,5,False,False,True,3.75,2.25,f,13,9
428,7,Soccer,8,True,True,False,3.58333333333333,4.33333333333333,f,25,8
430,7,Calisthenics,8,True,True,False,4.91666666666667,5.75,m,20,7
431,7,Parkour,7,False,True,False,4.25,5.16666666666667,f,21,7
439,7,Combat Sport,5,False,True,False,4.83333333333333,4,f,24,7
440,7,Kenjutsu,5,True,True,False,4.83333333333333,6.25,f,21,7
442,7,Swimming,8,False,True,False,5.25,5.33333333333333,m,24,8
443,7,Track and Field,8,True,False,False,4.16666666666667,5.75,f,47,7
445,7,Parkour,5,False,True,False,4.41666666666667,4.25,f,19,6
447,6,Gymnastics,4,False,True,False,4.33333333333333,5.25,m,29,8
451,7,Gymnastics,5,False,True,False,3.75,5.33333333333333,m,19,7
454,7,Track and Field,5,False,True,False,5.25,5.33333333333333,f,19,7
456,7,Handball,6,True,True,False,5,5.5,m,21,7
459,7,Track and Field,4,True,True,False,4.83333333333333,3.66666666666667,f,22,7
460,7,Gymnastics,5,False,True,True,4.33333333333333,4.66666666666667,m,23,7
461,5,Gymnastics,2,False,True,False,5.25,4.66666666666667,f,18,4
